"","percentile","suitability","km2"
"306","30.6%",0.00115774205769412,49159.7188059263
"307","30.7%",0.00116721125377808,49088.8653970448
"308","30.8%",0.00117451852420345,49018.0119881633
"309","30.9%",0.00118327512755059,48947.1585792819
"310","31.0%",0.00119173404527828,48876.3051704004
"311","31.1%",0.00119913654634729,48805.4517615189
"312","31.2%",0.00120877441950142,48734.5983526374
"313","31.3%",0.00121872060990427,48663.7449437559
"314","31.4%",0.00123024026397616,48592.8915348744
"315","31.5%",0.00123767722107004,48522.038125993
"316","31.6%",0.00124594662338495,48450.446660769
"317","31.7%",0.00125464032753371,48380.33130823
"318","31.8%",0.00126503818319179,48309.4778993485
"319","31.9%",0.00127318798622582,48238.624490467
"320","32.0%",0.00128150230739266,48167.7710815855
"321","32.1%",0.00129045918001793,48097.6557290466
"322","32.2%",0.00129901460604742,48026.8023201651
"323","32.3%",0.00130717964784708,47955.9489112836
"324","32.4%",0.0013158391462639,47885.0955024021
"325","32.5%",0.00132506505178753,47814.2420935206
"326","32.6%",0.00133282389142551,47743.3886846392
"327","32.7%",0.00134176246938296,47672.5352757577
"328","32.8%",0.00135094856377691,47601.6818668762
"329","32.9%",0.00135915478458628,47530.8284579947
"330","33.0%",0.00136835739249364,47459.9750491132
"331","33.1%",0.001378366939025,47389.1216402317
"332","33.2%",0.00138861485756934,47318.2682313503
"333","33.3%",0.00139976439531893,47247.4148224688
"334","33.4%",0.00140852495678701,47176.5614135873
"335","33.5%",0.00141790536872577,47105.7080047058
"336","33.6%",0.00142761408351362,47034.8545958243
"337","33.7%",0.0014368341449881,46964.0011869428
"338","33.8%",0.00144725090940483,46893.1477780614
"339","33.9%",0.00145599853130989,46822.2943691799
"340","34.0%",0.00146518222754821,46751.4409602984
"341","34.1%",0.00147599475167226,46680.5875514169
"342","34.2%",0.00148506022524089,46609.7341425354
"343","34.3%",0.00149377667112276,46538.880733654
"344","34.4%",0.0015032208757475,46467.28926843
"345","34.5%",0.00151338560681324,46397.173915891
"346","34.6%",0.00152327434625477,46326.3205070095
"347","34.7%",0.00153491738019511,46255.467098128
"348","34.8%",0.0015436626621522,46184.6136892465
"349","34.9%",0.00155275531287771,46113.7602803651
"350","35.0%",0.00156136770965531,46042.9068714836
"351","35.1%",0.00157201161782723,45972.0534626021
"352","35.2%",0.00158225612249225,45901.2000537206
"353","35.3%",0.00159285273693968,45830.3466448391
"354","35.4%",0.00160334850661457,45759.4932359576
"355","35.5%",0.00161361380014569,45688.6398270762
"356","35.6%",0.00162417134270072,45617.7864181947
"357","35.7%",0.00163363084138837,45546.9330093132
"358","35.8%",0.00164684954797849,45476.0796004317
"359","35.9%",0.00165720074728597,45405.2261915502
"360","36.0%",0.00166824378538877,45334.3727826687
"361","36.1%",0.00167979237157851,45264.2574301298
"362","36.2%",0.00169016774161719,45193.4040212483
"363","36.3%",0.00169961449282709,45122.5506123668
"364","36.4%",0.00171306045958772,45051.6972034853
"365","36.5%",0.00172240522806533,44980.8437946038
"366","36.6%",0.00173462321399711,44909.9903857224
"367","36.7%",0.00174435880617239,44839.1369768409
"368","36.8%",0.00175620394293219,44768.2835679594
"369","36.9%",0.00176661206933204,44697.4301590779
"370","37.0%",0.00177813626942225,44626.5767501964
"371","37.1%",0.00178698567615356,44555.723341315
"372","37.2%",0.00179780729813501,44484.8699324335
"373","37.3%",0.00180834619677626,44414.016523552
"374","37.4%",0.0018197663128376,44343.1631146705
"375","37.5%",0.00182885651884135,44272.309705789
"376","37.6%",0.00183886932209134,44201.4562969075
"377","37.7%",0.00185018718475476,44130.6028880261
"378","37.8%",0.00185945895500481,44059.7494791446
"379","37.9%",0.00186982163868379,43988.8960702631
"380","38.0%",0.00188159360550344,43918.0426613816
"381","38.1%",0.00189450042380486,43847.1892525001
"382","38.2%",0.0019051666080486,43776.3358436186
"383","38.3%",0.00191578141239006,43705.4824347372
"384","38.4%",0.00192561917938292,43634.6290258557
"385","38.5%",0.00193809911434073,43563.7756169742
"386","38.6%",0.00195200110902078,43492.9222080927
"387","38.7%",0.00196295751375146,43422.0687992112
"388","38.8%",0.00197533662430942,43351.2153903297
"389","38.9%",0.00198581683798693,43280.3619814483
"390","39.0%",0.00199916935525835,43209.5085725668
"391","39.1%",0.00201073718490079,43138.6551636853
"392","39.2%",0.00202333112247288,43067.8017548038
"393","39.3%",0.00203570736921392,42996.9483459223
"394","39.4%",0.00204871360911056,42926.0949370408
"395","39.5%",0.00206132448511198,42855.2415281594
"396","39.6%",0.00207312747370452,42784.3881192779
"397","39.7%",0.0020852372457739,42713.5347103964
"398","39.8%",0.00209726149914786,42642.6813015149
"399","39.9%",0.00210818722262047,42571.8278926334
"400","40.0%",0.00211990717798471,42500.974483752
"401","40.1%",0.00213458331418224,42430.859131213
"402","40.2%",0.00214748685248196,42360.0057223315
"403","40.3%",0.00216027533751913,42289.15231345
"404","40.4%",0.00217226257082075,42218.2989045685
"405","40.5%",0.00218488340033218,42147.445495687
"406","40.6%",0.00219699838198721,42076.5920868056
"407","40.7%",0.0022095080872532,42005.7386779241
"408","40.8%",0.00222245776094496,41934.8852690426
"409","40.9%",0.00223394128261134,41864.0318601611
"410","41.0%",0.00224871648242697,41793.1784512796
"411","41.1%",0.00226601017639041,41722.3250423981
"412","41.2%",0.00228020222857594,41650.7335771742
"413","41.3%",0.00229166967910714,41580.6182246352
"414","41.4%",0.00230220530647784,41509.7648157537
"415","41.5%",0.00231719607836567,41438.9114068722
"416","41.6%",0.00232941242866218,41368.0579979907
"417","41.7%",0.00234410403645598,41297.2045891092
"418","41.8%",0.00236103907227516,41226.3511802278
"419","41.9%",0.00237470758729614,41155.4977713463
"420","42.0%",0.00238629686646163,41084.6443624648
"421","42.1%",0.00239955266006291,41013.7909535833
"422","42.2%",0.0024138221051544,40942.1994883593
"423","42.3%",0.00242947051883675,40872.0841358204
"424","42.4%",0.00244327061809599,40801.2307269389
"425","42.5%",0.00246138457441702,40730.3773180574
"426","42.6%",0.00247619389556348,40659.5239091759
"427","42.7%",0.00248986762017012,40588.6705002944
"428","42.8%",0.00250633410178125,40517.0790350704
"429","42.9%",0.00252096723415889,40446.9636825315
"430","43.0%",0.00253915117355064,40376.11027365
"431","43.1%",0.00255529390415177,40305.2568647685
"432","43.2%",0.00256837601773441,40234.403455887
"433","43.3%",0.00258437218726613,40163.5500470055
"434","43.4%",0.00260166550287977,40092.696638124
"435","43.5%",0.0026178807602264,40021.8432292426
"436","43.6%",0.00263303304091096,39950.9898203611
"437","43.7%",0.00264763088198379,39880.1364114796
"438","43.8%",0.00266192574054003,39809.2830025981
"439","43.9%",0.00267742599826306,39738.4295937166
"440","44.0%",0.0026898980140686,39667.5761848352
"441","44.1%",0.00270483809290454,39597.4608322962
"442","44.2%",0.00272094736574218,39526.6074234147
"443","44.3%",0.00273727098829113,39455.7540145332
"444","44.4%",0.00275577558204532,39384.9006056517
"445","44.5%",0.00277205309248529,39314.0471967703
"446","44.6%",0.00279005754273385,39243.1937878888
"447","44.7%",0.0028079142794013,39171.6023226648
"448","44.8%",0.00282546039670706,39101.4869701258
"449","44.9%",0.00284239074680954,39030.6335612443
"450","45.0%",0.00286098360083997,38959.7801523628
"451","45.1%",0.00288487473735586,38888.9267434814
"452","45.2%",0.00290124267339707,38818.0733345999
"453","45.3%",0.00292459843913093,38747.2199257184
"454","45.4%",0.00294250946026295,38676.3665168369
"455","45.5%",0.00296227695071138,38605.5131079554
"456","45.6%",0.00298034893348813,38534.6596990739
"457","45.7%",0.00299846594571136,38463.8062901925
"458","45.8%",0.00301945222308859,38392.952881311
"459","45.9%",0.00303657315089367,38322.0994724295
"460","46.0%",0.00305948045570403,38251.246063548
"461","46.1%",0.00307822859031148,38180.3926546665
"462","46.2%",0.00309987183427438,38109.539245785
"463","46.3%",0.00312153905397281,38038.6858369036
"464","46.4%",0.00314319208264351,37967.8324280221
"465","46.5%",0.00316367961931974,37896.9790191406
"466","46.6%",0.00318450981285423,37826.1256102591
"467","46.7%",0.00320304606575519,37755.2722013776
"468","46.8%",0.00322278707753867,37684.4187924962
"469","46.9%",0.0032410049054306,37613.5653836147
"470","47.0%",0.00325883598998189,37542.7119747332
"471","47.1%",0.00327476476086304,37471.8585658517
"472","47.2%",0.00328983035869897,37401.0051569702
"473","47.3%",0.00330867368611507,37330.1517480887
"474","47.4%",0.00333025371655822,37259.2983392072
"475","47.5%",0.00334836539695971,37188.4449303258
"476","47.6%",0.0033691392512992,37117.5915214443
"477","47.7%",0.00338795069255866,37046.7381125628
"478","47.8%",0.00340533673297614,36975.8847036813
"479","47.9%",0.00342392076272517,36905.0312947998
"480","48.0%",0.00344310700893402,36833.4398295758
"481","48.1%",0.00345912820193917,36764.0625333794
"482","48.2%",0.00347703928127885,36692.4710681554
"483","48.3%",0.00349706807173789,36621.6176592739
"484","48.4%",0.00351428284775466,36551.5023067349
"485","48.5%",0.00353513695881702,36480.6488978535
"486","48.6%",0.00355548568768427,36409.795488972
"487","48.7%",0.00357720183092169,36338.9420800905
"488","48.8%",0.00359669462777674,36268.088671209
"489","48.9%",0.00361845465376973,36197.2352623275
"490","49.0%",0.00363726983778179,36126.381853446
"491","49.1%",0.0036596117541194,36055.5284445646
"492","49.2%",0.00367830127943307,35984.6750356831
"493","49.3%",0.00370517713017762,35913.8216268016
"494","49.4%",0.0037326752091758,35842.9682179201
"495","49.5%",0.00375574102508835,35772.1148090386
"496","49.6%",0.00377523475326598,35701.2614001571
"497","49.7%",0.00379743584780954,35630.4079912757
"498","49.8%",0.00382089784834534,35559.5545823942
"499","49.9%",0.00384045079117641,35488.7011735127
"500","50.0%",0.00386564829386771,35417.8477646312
"501","50.1%",0.00388819085201249,35346.9943557497
"502","50.2%",0.00391194210387766,35276.1409468682
"503","50.3%",0.00393199800746515,35205.2875379868
"504","50.4%",0.00395800704136491,35134.4341291053
"505","50.5%",0.00397794554010034,35063.5807202238
"506","50.6%",0.00399850392714143,34992.7273113423
"507","50.7%",0.00402014673454687,34921.8739024608
"508","50.8%",0.00403999951668084,34851.0204935794
"509","50.9%",0.00406255758134648,34780.1670846979
"510","51.0%",0.00408605404663831,34709.3136758164
"511","51.1%",0.00410917089320719,34638.4602669349
